165,N#Cc1cc2[nH]nnc2nc1N,-0.06
166,Oc1ccccc1,10.04
167,Oc1ccccc1O,9.37
168,Oc1cccc(O)c1,9.2
169,Oc1ccc(O)cc1,9.91
170,Oc1cccc(O)c1O,9.28
171,Oc1ccc(O)c(O)c1,9.08
172,Oc1cc(O)cc(O)c1,7.97
173,O=C1CCCCC1=O,10.3
174,O=CC1CCCC1=O,5.83
175,CC1CC=C(O)C1=O,9.6
176,O=C1CCC(C(=O)O)C1,4.25
177,O=C(O)CC(CC(=O)O)C(=O)O,3.47
178,O=C(O)CC(O)(CC(=O)O)C(=O)O,2.96
179,CCC(=O)CC(C)=O,9.36
180,CC(=O)C(C)C(C)=O,10.7
181,CCOC(=O)CC(C)=O,10.49
182,O=C(O)C1CCCCO1,3.8
183,O=C(O)CCCCC(=O)O,4.42
184,CCC(C)(C(=O)O)C(=O)O,2.2
185,O=C(O)COCCOCC(=O)O,3.15
186,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl,0.56
187,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0.27
188,Oc1ccc(Cl)c(Cl)c1,8.701
189,Oc1cc(Cl)cc(Cl)c1,8.243
190,Oc1cc(Br)cc(Br)c1,8.125
191,Oc1cc(I)cc(I)c1,8.175
192,O=c1[nH]c(=O)c2nccnc2[nH]1,7.95
193,O=c1cnc2[nH]c(=O)ncc2[nH]1,5.58
194,O=c1cnc2c[nH]c(=O)[nH]c-2n1,5.83
195,O=c1cnc2[nH]cnc(=O)c2[nH]1,6.05
196,O=c1cnc2c(=O)nc[nH]c2[nH]1,6.08
197,O=c1cnc2[nH]c(=O)[nH]c(=O)c2[nH]1,5.85
198,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,6.78
199,Nc1nc(=O)c2nccnc2[nH]1,2.2
200,Cc1n[nH]c2ncnc(=O)c-2n1,7
201,Oc1ccccc1Cl,8.611
202,Oc1cccc(Cl)c1,9.186
203,Oc1ccccc1Br,8.508
204,Oc1cccc(Br)c1,9.099
205,Oc1ccccc1I,8.568
206,Oc1cccc(I)c1,9.104
207,O=[N+]([O-])c1ccccc1O,7.293
208,O=[N+]([O-])c1cccc(O)c1,8.423
209,O=[N+]([O-])c1ccc(O)cc1,7.216
210,O=[N+]([O-])c1cccc(O)c1O,6.76
211,O=[N+]([O-])c1c(O)cccc1O,6.37
212,O=[N+]([O-])c1ccc(O)cc1O,6.15
213,O=[N+]([O-])c1cc(O)cc(O)c1,6.59
214,O=[N+]([O-])c1cc(O)ccc1O,7.47
215,Nc1[nH]c(=O)c(C(=O)O)nc1C=O,3.71
216,Cn1[nH]cc2c(=O)ncnc1-2,9.26
217,Cc1cc(=O)n2[nH]cnc2n1,6.22
218,Cc1n[nH]c2nc(N)nc(=O)c-2n1,1.14
219,NC(=O)c1cc2[nH]nnc2nc1N,5.35
220,O=C1CNC2=CNC(=O)NC2=N1,5.84
221,O=C1CNc2[nH]cnc(=O)c2N1,9.14
222,O=C1CNc2c([nH]cnc2=O)N1,8.45
223,O=C1Nc2nccnc2C(O)N1,11.05
224,O=C1Nc2cncnc2NC1O,9.9
225,Cn1c(=O)[nH]c2nc[nH]c2c1=O,7.9
226,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,8.45
227,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,8.42
228,Cn1cnc2c(=O)[nH]c(=O)[nH]c21,6.12
229,Cn1c(=O)[nH]c2cnc(=O)[nH]c21,8.74
230,O=S(O)c1ccccc1,1.29
231,O=C1Nc2cnc(=O)[nH]c2NC1O,9.44
232,O=C1CNc2[nH]c(=O)[nH]c(=O)c2N1,7.07
233,S=C1NCc2nccnc2N1,10.95
234,Nc1ccccc1O,10.05
235,Nc1cccc(O)c1,9.96
236,Nc1cccc(O)c1O,7.7
237,Nc1ccc(O)c(O)c1,8.12
238,Nc1c(O)cccc1O,8.09
239,Nc1ccc(O)cc1O,7.91
240,Nc1cc(O)cc(O)c1,7.88
241,Nc1cc(O)ccc1O,8.01
242,CNc1[nH]c(=O)cnc1C=O,6.44
243,COc1nc(=O)c2c(nnn2C)[nH]1,7.17
244,COc1nc2nn(C)nc2c(=O)[nH]1,7.69
245,OB(O)c1ccccc1,8.86
246,Nc1c(C(=O)O)ncn1CC(=O)O,3.25
247,CCOc1nc(=O)[nH]cc1[N+](=O)[O-],6.6
248,CCOc1nc(=O)c([N+](=O)[O-])c[nH]1,4.88
249,O=C1CCC(=O)N1CC([N+](=O)[O-])[N+](=O)[O-],2.92
250,N#CCCC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.9
251,Nc1ccccc1S,3
252,CCc1c[nH]c(=O)[nH]c1=O,9.9
253,CNc1[nH]c(=O)cnc1C(N)=O,7.48
254,N#CCN(CC(=O)O)CC(=O)O,3.06
255,CC(C)C(C#N)C(=O)O,2.365
256,Cn1c(NO)cc(=O)n(C)c1=O,9.58
257,N#CCCCCC([N+](=O)[O-])[N+](=O)[O-],5
258,O=C(O)CN(CC(=O)O)CC(=O)O,0.8
259,NC(=O)CCC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.16
260,O=C(O)CCSCCC(=O)O,4.09
261,O=C(O)CCSSCCC(=O)O,3.88
262,NC(=O)CN(CC(=O)O)CC(=O)O,2.3
263,O=C(O)[C@@H]1CCCCN1,2.29
264,O=C(O)CN(CCO)CC(=O)O,2.2
265,NCCN(CC(=O)O)CC(=O)O,5.58
266,CC(C)(C)CC([N+](=O)[O-])[N+](=O)[O-],5.05
267,CCCCCC([N+](=O)[O-])[N+](=O)[O-],5.41
268,O=C(O)CN(CCO)CC(=O)NO,5.69
269,O=C(O)CN(CCO)CCO,1.68
270,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,9.24
271,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,5.84
272,CCCP(=O)(O)CCC,3.26
273,CCCOP(=O)(O)OCCC,1.52
274,CC(C)P(=S)(S)C(C)C,1.64
275,O=P(O)(O)Oc1cc(Cl)c(Cl)cc1Cl,0.53
276,Cn1c(Br)nc2c(=O)[nH]c(=O)[nH]c21,5.45
277,O=P(O)(O)Oc1ccc(Cl)cc1Cl,0.65
278,Cc1cc(Cl)[nH]c(=O)c1,0.2
279,OC1NC(=S)Nc2nccnc21,9.72
280,Cn1c(S)nc2c[nH]c(=O)nc21,7
281,NS(=O)(=O)c1cccc([N+](=O)[O-])c1,9.2
282,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,9.14
283,O=P(O)(O)Oc1ccc(Cl)cc1,0.7
284,CSc1nc2nn(C)nc2c(=O)[nH]1,7.28
285,NS(=O)(=O)c1ccccc1,10
286,Nc1ccc(S(=O)(=O)O)cc1,2.93
287,Cn1nnc2[nH]c(S(C)(=O)=O)nc(=O)c21,2.96
288,Cn1nc2nc(S(C)(=O)=O)[nH]c(=O)c2n1,3.54
289,Nc1ccc(S(N)(=O)=O)cc1,10.58
290,O=C(O)CN(CCS)CC(=O)O,2.14
291,O=C(O)CN(CCS(=O)(=O)O)CC(=O)O,1.9
292,O=C(O)CN(CCP(=O)(O)O)CC(=O)O,1.9
293,CC(C)OP(=S)(S)OC(C)C,1.82
294,CCCOP(=S)(S)OCCC,1.75
295,NS(=O)(=O)c1ccc(Cl)cc1,9.77
296,O=Cc1ccccc1O,8.34
297,O=Cc1cccc(O)c1,9.046
298,O=C(O)c1ccccc1,3.99
299,O=Cc1cccc(O)c1O,7.73
300,O=Cc1ccc(O)cc1O,7.1
301,O=Cc1cc(O)ccc1O,8.28
302,O=Cc1c(O)cccc1O,7
303,O=C(O)c1ccccc1O,3.015
304,O=C(O)c1cccc(O)c1,3.96
305,O=C(O)c1ccc(O)cc1,4.36
306,CC1=CC(=O)C=C(O)C1=O,4.04
307,O=C(O)c1cc(O)c(O)c(O)c1,3.13
308,Cc1ccccc1O,10.409
309,Cc1cccc(O)c1,10.165
310,Cc1ccc(O)cc1,10.3
311,Cc1cccc(O)c1O,9.51
312,Cc1ccc(O)c(O)c1,9.67
313,Cc1c(O)cccc1O,9.61
314,Cc1ccc(O)cc1O,9.46
315,Cc1cc(O)cc(O)c1,9.36
316,Cc1cc(O)ccc1O,10.15
317,OCc1ccccc1O,9.91
318,OCc1ccc(O)cc1,9.79
319,COc1cccc(O)c1,9.716
320,COc1ccc(O)cc1,10
321,O=C(O)C1=C(C(=O)O)CCC1,3.36
322,O=C(O)C1=CCC(C(=O)O)C1,4.27
323,O=C(O)C1=CCCC1C(=O)O,4.03
324,O=CC1CCCCC1=O,6.35
325,CC1CCC=C(O)C1=O,11.23
326,CC(=O)C1CCCC1=O,7.82
327,O=C(O)CC1CCCC1=O,4.58
328,O=C(O)CC1CCC(=O)C1,4.64
329,CCC(C(=O)O)=C(C)C(=O)O,3.2
330,O=C(O)CCC1CCOC1=O,4.55
331,CCC(=O)CC(=O)CC,9.55
332,CC(=O)CC(=O)C(C)C,9.42
333,CCC(C(C)=O)C(C)=O,11.33
334,CCC(CC)(C(=O)O)C(=O)O,2.144
335,O=[N+]([O-])c1cc([N+](=O)[O-])c(C([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,-3.5
336,O=Cc1nc2c(=O)nc[nH]c2[nH]c1=O,5.93
337,O=C(O)c1nc2cnc[nH]c-2nc1=O,1.5
338,O=C(O)c1cc(Cl)cc(Cl)c1O,2.204
339,O=C(O)c1cc(Br)cc(Br)c1O,2.178
340,O=C(O)c1nc2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,2
341,O=C(O)c1nc2[nH]c(=O)[nH]c(=O)c2[nH]c1=O,1.7
342,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.73
343,O=[N+]([O-])c1ccc(C([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,0.03
344,O=[N+]([O-])c1cccc([N+](=O)[O-])c1C([N+](=O)[O-])[N+](=O)[O-],-2.7
345,O=C(O)c1ccccc1Cl,3.03
346,O=C(O)c1ccccc1Br,2.88
347,O=C(O)c1ccccc1I,2.93
348,O=C(O)c1cccc(Br)c1O,2.516
349,O=C(O)c1cc(Br)ccc1O,2.638
350,O=C(O)c1ccc(Br)cc1O,2.678
351,O=C(O)c1cccc(I)c1O,2.536
352,O=C(O)c1ccc(I)cc1O,2.761
353,O=C(O)c1cc(I)ccc1O,2.632
354,O=C(O)c1ccccc1[N+](=O)[O-],2.47
355,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1,1.4
356,O=[N+]([O-])c1ccccc1C([N+](=O)[O-])[N+](=O)[O-],0.98
357,Cc1cnc2cnc(=O)[nH]c2n1,9.6
358,Cc1cnc2[nH]cnc(=O)c2n1,8.19
359,Cc1cnc2c(=O)nc[nH]c2n1,8.09
360,Cc1nc2cnc[nH]c-2nc1=O,6.97
361,Cc1cc(Cl)cc(Cl)c1O,8.14
362,Cn1c(=O)[nH]c(=O)c2nccnc21,8.57
363,Cn1c(=O)[nH]c2nccnc2c1=O,8
364,Cc1[nH]c(=O)[nH]c2nc(=O)cnc1-2,6.31
365,Cn1cnc2ncc(=O)[nH]c2c1=O,6.26
366,Cn1cnc2[nH]c(=O)cnc2c1=O,6.19
367,Cc1nc2c(=O)[nH]cnc2[nH]c1=O,6.82
368,Cn1cc(O)nc2c(=O)ncnc1-2,8.67
369,Cn1c(=O)c(O)nc2ncncc21,7.02
370,Cn1c(=O)[nH]c(=O)c2[nH]c(=O)cnc21,5.62
371,Cn1c(=O)[nH]c2ncc(=O)[nH]c2c1=O,5.96
372,Cc1nc2[nH]c(=O)[nH]c(=O)c2[nH]c1=O,6.57
373,Cn1c(=O)[nH]c(=O)c2ncc(=O)[nH]c21,3.31
374,Cn1c(=O)[nH]c2[nH]c(=O)cnc2c1=O,3.6
375,Cc1nc2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,4.13
376,Cn1c(=O)cnc2c(=O)[nH]c(=O)[nH]c21,11.7
377,O=C(NO)c1ccccc1[N+](=O)[O-],1.45
378,O=C(NO)c1ccc([N+](=O)[O-])cc1,1.8
379,Cn1c(=O)[nH]c(=O)c2[nH]c(=O)c(=O)[nH]c21,3.49
380,Cn1c(=O)[nH]c2[nH]c(=O)c(=O)[nH]c2c1=O,4.02
381,Cn1c(=O)c(=O)[nH]c2c(=O)[nH]c(=O)[nH]c21,4.36
382,S=c1[nH]c2ccccc2[nH]1,9.18
383,Cc1cnc2c(=S)nc[nH]c2n1,7.02
384,Cn1c(N)nc(=O)c2nccnc21,2.86
385,Cn1c(N)nc2nccnc2c1=O,2.18
386,CNc1nc(=O)c2nccnc2[nH]1,1.95
387,Cc1ccc(O)c(Cl)c1,8.74
388,Cc1cccc(Cl)c1O,8.69
389,Cc1cc(Cl)ccc1O,9.55
390,Cc1cc(O)ccc1Cl,9.43
391,NC(=O)c1ccccc1O,8.7
392,O=C(NO)c1ccccc1,1.85
393,Cc1nc2c(=O)nc(N)[nH]c2[nH]c1=O,7.98
394,Cn1c(=O)cnc2c(=O)nc(N)[nH]c21,8.1
395,Cn1c(N)nc2[nH]c(=O)cnc2c1=O,7.45
396,Cn1c(=O)cnc2c(=O)[nH]c(N)nc21,8.1
397,COc1ccc(O)c(Br)c1,8.69
398,COc1ccc(O)cc1Br,9.16
399,NC(=O)c1ccc(O)cc1O,7.5
400,NC(=O)c1c(O)cccc1O,7.1
401,Cc1ccc([N+](=O)[O-])c(O)c1,7.466
402,Cn1cc(C(=O)O)ccc1=O,3.84
403,Cn1c(=O)c(=O)[nH]c2c(=O)nc(N)[nH]c21,7.95
404,Cn1c(N)nc2[nH]c(=O)c(=O)[nH]c2c1=O,7.6
405,COc1c(O)cccc1[N+](=O)[O-],7.83
406,COc1cc([N+](=O)[O-])ccc1O,6.63
407,COc1ccc([N+](=O)[O-])cc1O,8
408,COc1cccc([N+](=O)[O-])c1O,6.84
409,COc1cc(O)ccc1[N+](=O)[O-],6.1
410,COc1ccc([N+](=O)[O-])c(O)c1,6.54
411,COc1ccc(O)c([N+](=O)[O-])c1,7.47
412,COc1ccc(O)cc1[N+](=O)[O-],8.68
413,CCc1n[nH]c2nc(N)nc(=O)c-2n1,1.15
414,CC1Nc2c([nH]cnc2=O)NC1=O,8.43
415,Cn1c(=O)c2[nH]cnc2n(C)c1=O,8.68
416,Cn1c(=O)[nH]c2c(ncn2C)c1=O,5.99
417,Cn1cnc2c1c(=O)[nH]c(=O)n2C,10
418,Cn1cnc2c(=O)[nH]c(=O)n(C)c21,10.14
419,Cc1nc2c(=O)[nH]c(=O)[nH]c2n1C,6.2
420,CCn1cnc2c(=O)[nH]c(=O)[nH]c21,6.14
421,Cn1c(=O)c2cn[nH]c2n(C)c1=O,9.26
422,O=S(O)Cc1ccccc1,1.45
423,CNC(=O)c1nc(C=O)c(N)[nH]c1=O,6.01
424,O=c1[nH]c(=O)c2ncn(CCO)c2[nH]1,5.93
425,CSc1ncc2[nH]c(C)nc2n1,-1.03
426,COc1ccc(O)c(N)c1,10.07
427,NC(=O)C(C(N)=O)C1NC(=O)Nc2nn[nH]c21,7.84
428,O=P(O)(O)COc1ccccc1,1.37
429,COC(=O)CCC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.13
430,CNc1nc(=O)n(C)cc1C,4.57
431,CONc1cc(=O)n(C)c(=O)n1C,10.58
432,O=C(O)CN(CC(=O)O)C(CO)C(=O)O,2.2
433,O=C(O)CCSCSCCC(=O)O,4.08
434,COCCN(CC(=O)O)CC(=O)O,2.2
435,O=C(O)CN(CC(=O)O)CC(O)CO,3.12
436,O=[N+]([O-])c1c(Br)cc(C([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1Br,-0.86
437,O=[N+]([O-])c1cc(Cl)c(Cl)cc1C([N+](=O)[O-])[N+](=O)[O-],0.36
438,O=[N+]([O-])c1cc(Cl)c(C([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,-2.32
439,O=[N+]([O-])c1cc(Cl)cc([N+](=O)[O-])c1C([N+](=O)[O-])[N+](=O)[O-],-2.82
440,O=[N+]([O-])c1cc([N+](=O)[O-])c(C([N+](=O)[O-])[N+](=O)[O-])cc1Br,-0.39
441,O=[N+]([O-])c1cc(F)c(C([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,-1.42
442,O=[N+]([O-])c1ccc(C([N+](=O)[O-])[N+](=O)[O-])c(Cl)c1,0.69
443,O=[N+]([O-])c1ccc(Cl)c(C([N+](=O)[O-])[N+](=O)[O-])c1,0.78
444,O=[N+]([O-])c1ccc(Cl)cc1C([N+](=O)[O-])[N+](=O)[O-],0.55
445,O=[N+]([O-])c1cc(Cl)ccc1C([N+](=O)[O-])[N+](=O)[O-],0.62
446,O=[N+]([O-])c1ccc(Br)cc1C([N+](=O)[O-])[N+](=O)[O-],0.51
447,Cn1c(=O)cnc2c(Cl)ncnc21,12
448,O=C1CNc2nc(Cl)nc(C(=O)O)c2N1,-0.19
449,O=[N+]([O-])C(c1ccccc1Br)[N+](=O)[O-],1.45
450,O=C(NO)c1ccc(Cl)cc1,1.9
451,O=[PH](O)COc1cc(Cl)c(Cl)cc1Cl,0.94
452,O=P(O)(O)COc1cc(Cl)c(Cl)cc1Cl,1.26
453,[Cl-].c1cc2ccsc2c[nH+]1,5.25
454,O=[PH](O)COc1ccc(Cl)cc1Cl,0.98
455,Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,3.32
456,O=P(O)(O)COc1ccc(Cl)cc1Cl,1.3
457,O=P(O)(O)COc1c(Cl)cccc1Cl,7.11
458,O=[PH](O)Cc1ccc(Cl)cc1,2.39
459,O=[PH](O)COc1ccc(Cl)cc1,1
460,O=P(O)(O)COc1ccccc1Cl,1.43
461,Cc1ccc(S(N)(=O)=O)cc1,10.17
462,COc1ccc(S(N)(=O)=O)cc1,10.22
463,CSCCN(CC(=O)O)CC(=O)O,2.1
464,Oc1cccc2occc12,9.06
465,O=C(O)c1cccc(C(=O)O)c1,3
466,O=C(O)c1ccc(C(=O)O)cc1,3.5
467,O=C(CO)c1ccccc1,10.06
468,Cc1ccccc1C(=O)O,3.98
469,Cc1cccc(C(=O)O)c1,4.29
470,Cc1ccc(C(=O)O)cc1,4.4
471,O=C(O)C(O)c1ccccc1,2.91
472,O=C(O)COc1ccccc1,3.11
473,Cc1cccc(C(=O)O)c1O,3.026
474,Cc1ccc(C(=O)O)c(O)c1,3.29
475,Cc1ccc(O)c(C(=O)O)c1,3.14
